,Postcode,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7587999,-79.3201966
1,M4A,North York,Victoria Village,43.732658,-79.3111892
2,M5A,Downtown Toronto,Harbourfront,43.6400801,-79.3801495
3,M6A,North York,"Lawrence Heights, Lawrence Manor",43.7220788,-79.4375067
4,M7A,Downtown Toronto,Queen's Park,43.6606092,-79.3905725
5,M9A,Queen's Park,Queen's Park,43.6606092,-79.3905725
6,M1B,Scarborough,"Rouge, Malvern",43.8091955,-79.2217008
7,M3B,North York,Don Mills North,43.775347,-79.3459439
8,M4B,East York,"Woodbine Gardens, Parkview Hill",43.7062977,-79.3219073
9,M5B,Downtown Toronto,"Ryerson, Garden District",43.6564995,-79.3771141
10,M6B,North York,Glencairn,43.7087117,-79.4406853
11,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6453376,-79.52487
12,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7802711,-79.1304992
13,M3C,North York,"Flemingdon Park, Don Mills South",43.775347,-79.3459439
14,M4C,East York,Woodbine Heights,43.6999302,-79.3191316
15,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
16,M6C,York,Humewood-Cedarvale,43.6857205,-79.4251158
17,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6622732,-79.5765162
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7826012,-79.2049579
19,M4E,East Toronto,The Beaches,43.6710244,-79.296712
20,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.3753959113886
21,M6E,York,Caledonia-Fairbanks,43.6754348,-79.4543347
22,M1G,Scarborough,Woburn,43.7598243,-79.2252908
23,M4G,East York,Leaside,43.7047983,-79.3680904
24,M5G,Downtown Toronto,Central Bay Street,43.660912,-79.3858973
25,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
26,M1H,Scarborough,Cedarbrae,43.75646655,-79.226692442588
27,M2H,North York,Hillcrest Village,43.7996637,-79.3650189
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7492988,-79.462248
